run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,rpc_json,1.0000816660030978,0.0018029216872921144
1,ADHD_SIN,60,rpc_json,1.0015077920106705,0.0018141120951621172
2,ADHD_SIN,60,rpc_json,1.0024545830092393,0.0016197023270870447
3,ADHD_SIN,60,rpc_json,1.0013765000039712,0.0013527470590038114
4,ADHD_SIN,60,rpc_json,1.0021972920076223,0.001595722905026573
5,ADHD_SIN,60,rpc_json,1.0027544579934329,0.0017878248195739449
6,ADHD_SIN,60,rpc_json,1.0023698750010226,0.001940391224263544
7,ADHD_SIN,60,rpc_json,1.00245020899456,0.0013777828328123088
8,ADHD_SIN,60,rpc_json,1.0020329580001999,0.0015488495173052032
9,ADHD_SIN,60,rpc_json,1.0022742919973098,0.0011417274276965038
0,ADHD_SIN,120,rpc_json,2.0033601249888306,0.0015818934373820598
1,ADHD_SIN,120,rpc_json,2.0028142500086688,0.0016567627388570274
2,ADHD_SIN,120,rpc_json,2.0023410830035573,0.0014777505439867917
3,ADHD_SIN,120,rpc_json,2.0027017919928767,0.0018772281869725758
4,ADHD_SIN,120,rpc_json,2.002703249992919,0.0017051558044626238
5,ADHD_SIN,120,rpc_json,2.002897458994994,0.0012898378437015906
6,ADHD_SIN,120,rpc_json,2.003421957997489,0.0017823318437152577
7,ADHD_SIN,120,rpc_json,2.003864041995257,0.0019093596326987296
8,ADHD_SIN,120,rpc_json,2.000926124994294,0.0019511190199819073
9,ADHD_SIN,120,rpc_json,2.0012208330008434,0.0014156518555744403
0,ADHD_SIN,240,rpc_json,3.7708554580021882,0.0014575324179416282
1,ADHD_SIN,240,rpc_json,3.769028499998967,0.0015208009354816118
2,ADHD_SIN,240,rpc_json,3.7698855830094544,0.0018195981971916926
3,ADHD_SIN,240,rpc_json,3.7691440420021536,0.0016277569633673134
4,ADHD_SIN,240,rpc_json,3.7701751670101658,0.001796443416373343
5,ADHD_SIN,240,rpc_json,3.7688000409980305,0.0022240295745442986
6,ADHD_SIN,240,rpc_json,3.770280457989429,0.0024905101347100643
7,ADHD_SIN,240,rpc_json,3.7658474589989055,0.002171077326515588
8,ADHD_SIN,240,rpc_json,3.7705122910119826,0.0016102450832353274
9,ADHD_SIN,240,rpc_json,3.76916304200131,0.0019357912791421684
0,ADHD_SIN,480,rpc_json,3.770571500004735,0.001599799502398857
1,ADHD_SIN,480,rpc_json,3.7695419999945443,0.001866401319227588
2,ADHD_SIN,480,rpc_json,3.768819334,0.0016934925843476775
3,ADHD_SIN,480,rpc_json,3.768298707989743,0.002255369168308273
4,ADHD_SIN,480,rpc_json,3.774366541998461,0.002040101331807221
5,ADHD_SIN,480,rpc_json,3.768428708004649,0.001726327751019354
6,ADHD_SIN,480,rpc_json,3.7697468749975087,0.002006937668200508
7,ADHD_SIN,480,rpc_json,3.7690188749984372,0.0017642046113744518
8,ADHD_SIN,480,rpc_json,3.7661272500117775,0.0024307511873817127
9,ADHD_SIN,480,rpc_json,3.767277874998399,0.002204998371545589
0,adhd_sin_h5,60,rpc_json,1.0028076250018785,0.0015219415486125768
1,adhd_sin_h5,60,rpc_json,1.0013822500040988,0.0017561938168214057
2,adhd_sin_h5,60,rpc_json,1.0042260830086889,0.0021098079424671334
3,adhd_sin_h5,60,rpc_json,1.0036845419963356,0.0017708346420569432
4,adhd_sin_h5,60,rpc_json,1.0038695000112057,0.0017435105233849872
5,adhd_sin_h5,60,rpc_json,1.0014439999940805,0.001873222935028446
6,adhd_sin_h5,60,rpc_json,1.004198999988148,0.0021446848476786374
7,adhd_sin_h5,60,rpc_json,1.0021003339934396,0.001703219356067534
8,adhd_sin_h5,60,rpc_json,1.0021089169895276,0.0018550460629497454
9,adhd_sin_h5,60,rpc_json,1.00394999999844,0.0019119617294855722
0,adhd_sin_h5,120,rpc_json,2.0029641250002896,0.001782835003461472
1,adhd_sin_h5,120,rpc_json,2.002578583997092,0.002126476269885644
2,adhd_sin_h5,120,rpc_json,2.0025094999873545,0.001841560413292505
3,adhd_sin_h5,120,rpc_json,2.002351749993977,0.002122625304838612
4,adhd_sin_h5,120,rpc_json,2.0036650830006693,0.0021869503156604422
5,adhd_sin_h5,120,rpc_json,2.0024076670088107,0.001943771625057782
6,adhd_sin_h5,120,rpc_json,2.0053319169965107,0.0019876790617719396
7,adhd_sin_h5,120,rpc_json,2.0024722919915803,0.0016412471703571353
8,adhd_sin_h5,120,rpc_json,2.004138083997532,0.001409167200841192
9,adhd_sin_h5,120,rpc_json,2.0053755409899168,0.0018855853294740914
0,adhd_sin_h5,240,rpc_json,3.7707842079980765,0.0016455916867302012
1,adhd_sin_h5,240,rpc_json,3.771542791000684,0.002089232321447046
2,adhd_sin_h5,240,rpc_json,3.7695920830010436,0.0017389805336255261
3,adhd_sin_h5,240,rpc_json,3.7704954579967307,0.001637672469898223
4,adhd_sin_h5,240,rpc_json,3.77004333298828,0.0017640519329319088
5,adhd_sin_h5,240,rpc_json,3.7723738749918994,0.004456492042668383
6,adhd_sin_h5,240,rpc_json,3.7709184590057703,0.0018754922799543178
7,adhd_sin_h5,240,rpc_json,3.777512041007867,0.0017804783135404586
8,adhd_sin_h5,240,rpc_json,3.7713626670010854,0.0016259501721265235
9,adhd_sin_h5,240,rpc_json,3.7689711669954704,0.0019361078481295387
0,adhd_sin_h5,480,rpc_json,3.7710171660000924,0.0017306412614640984
1,adhd_sin_h5,480,rpc_json,3.772302249999484,0.0017013061378727443
2,adhd_sin_h5,480,rpc_json,3.7704810830036877,0.0017578194460946745
