run,dataset_name,num_points,time,jitter
0,adhd_sin,60,1.0042727919644676,0.002444053144849969
1,adhd_sin,60,1.0026612500078045,0.0021281432968187517
2,adhd_sin,60,1.0041773749981076,0.005612387797749686
3,adhd_sin,60,1.0051519170519896,0.001874915695840806
4,adhd_sin,60,1.0010122079984285,0.002383719927952636
5,adhd_sin,60,1.0016999579966068,0.0015059848564831762
6,adhd_sin,60,1.0012032910017297,0.0019115604962596784
7,adhd_sin,60,1.004816209024284,0.0020826520833975345
8,adhd_sin,60,1.0042656669975258,0.0015299858026078023
9,adhd_sin,60,1.0019883749773726,0.0023146285476216065
0,adhd_sin,120,2.002763499971479,0.0019156452326088745
1,adhd_sin,120,2.0019563749665394,0.0023246657861539055
2,adhd_sin,120,2.003974792023655,0.0015232254558827138
3,adhd_sin,120,2.0027153329574503,0.0023112566255327673
4,adhd_sin,120,2.004544832976535,0.0020739776058523443
5,adhd_sin,120,2.004980208002962,0.0019182403789900573
6,adhd_sin,120,2.003519541991409,0.002259723884101805
7,adhd_sin,120,2.0035470410366543,0.0018571184222946988
8,adhd_sin,120,2.0055151670239866,0.0023128152040493874
9,adhd_sin,120,2.0020235829870217,0.0023691079350867798
0,adhd_sin,240,3.7694382920162752,0.002265726035299868
1,adhd_sin,240,3.7734474160242826,0.0021367064011087854
2,adhd_sin,240,3.7714278339990415,0.0022850506672162634
3,adhd_sin,240,3.7694062080117874,0.0021502777267243555
4,adhd_sin,240,3.772062499949243,0.0023551193392067006
5,adhd_sin,240,3.7712277499958873,0.002079558303594882
6,adhd_sin,240,3.770971499965526,0.0019434295420782237
7,adhd_sin,240,3.7703122090315446,0.0019347211661716562
8,adhd_sin,240,3.7698436670470983,0.0017325659186949317
9,adhd_sin,240,3.7722824169904925,0.0021817038380923075
0,adhd_sin,480,3.770540624973364,0.0018539765711497362
1,adhd_sin,480,3.7716353749856353,0.0020403504039816357
2,adhd_sin,480,3.7739166670362465,0.0019591186295057034
3,adhd_sin,480,3.773258875007741,0.002079496655141135
4,adhd_sin,480,3.7689819999504834,0.0018147850435238303
