run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,ipc,1.000098333999631,0.00173979533615781
1,ADHD_SIN,60,ipc,1.0018594169960124,0.001289010088974909
2,ADHD_SIN,60,ipc,1.000572374992771,0.001936277788839299
3,ADHD_SIN,60,ipc,1.002414749993477,0.0012556353259972146
4,ADHD_SIN,60,ipc,0.9988662499963539,0.0015784510454378339
5,ADHD_SIN,60,ipc,1.0017070419999072,0.001480355319195557
6,ADHD_SIN,60,ipc,1.001934165993589,0.0018069784235744337
7,ADHD_SIN,60,ipc,1.0018188339890912,0.0015862136394770559
8,ADHD_SIN,60,ipc,1.0018934169929707,0.0013150098073212708
9,ADHD_SIN,60,ipc,1.0016109169955598,0.0012335330167100212
0,ADHD_SIN,120,ipc,2.0030172920087352,0.0011186880259116045
1,ADHD_SIN,120,ipc,2.0031374159880215,0.0013598120056199782
2,ADHD_SIN,120,ipc,2.0004959999932908,0.0019862341842824325
3,ADHD_SIN,120,ipc,2.0011136660032207,0.0016172419003839707
4,ADHD_SIN,120,ipc,2.000506291995407,0.0014404074490984194
5,ADHD_SIN,120,ipc,2.002256916006445,0.0013362940220572293
6,ADHD_SIN,120,ipc,2.00313945900416,0.0011823271433086084
7,ADHD_SIN,120,ipc,2.0030474589875666,0.0014386835077240111
8,ADHD_SIN,120,ipc,2.0039873749919934,0.0020517520661946717
9,ADHD_SIN,120,ipc,2.0044207500031916,0.001779188038793832
0,ADHD_SIN,240,ipc,3.769546708004782,0.0020207686195401822
1,ADHD_SIN,240,ipc,3.769591958000092,0.0015753864089418355
2,ADHD_SIN,240,ipc,3.769295999998576,0.0016200878051333663
3,ADHD_SIN,240,ipc,3.769905082997866,0.001626311280634272
4,ADHD_SIN,240,ipc,3.768117125000572,0.001440784291260852
5,ADHD_SIN,240,ipc,3.7692436249926686,0.0016491782269880543
6,ADHD_SIN,240,ipc,3.7664592910005013,0.0017108844055265724
7,ADHD_SIN,240,ipc,3.76907895799377,0.0013313233906916372
8,ADHD_SIN,240,ipc,3.7696263329999056,0.0016822199656535539
9,ADHD_SIN,240,ipc,3.7699372499919264,0.0014119002455380508
0,ADHD_SIN,480,ipc,3.769276292005088,0.0017465950235909507
1,ADHD_SIN,480,ipc,3.7695652499969583,0.0017501935289899505
2,ADHD_SIN,480,ipc,3.7692021249968093,0.0014021855652733097
