run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,rpc_msgpack,1.0025552079896443,0.003812971254853349
1,ADHD_SIN,60,rpc_msgpack,1.0054728749673814,0.003427819546262236
2,ADHD_SIN,60,rpc_msgpack,1.0019133330206387,0.004369227491682439
3,ADHD_SIN,60,rpc_msgpack,1.002766416000668,0.003919081088595175
4,ADHD_SIN,60,rpc_msgpack,1.0039902909775265,0.0036253138286147578
5,ADHD_SIN,60,rpc_msgpack,1.0057570000062697,0.0033604678555791056
6,ADHD_SIN,60,rpc_msgpack,1.0048464590217918,0.003657236409980618
7,ADHD_SIN,60,rpc_msgpack,1.0098642079974525,0.004575615543723039
8,ADHD_SIN,60,rpc_msgpack,1.0056530829751864,0.0037457277865542396
9,ADHD_SIN,60,rpc_msgpack,1.002565166039858,0.0033984806120638195
0,ADHD_SIN,120,rpc_msgpack,2.001794499985408,0.003661163455124195
1,ADHD_SIN,120,rpc_msgpack,2.0065754590323195,0.003855421778460348
2,ADHD_SIN,120,rpc_msgpack,2.0064143339986913,0.0037702596527718424
3,ADHD_SIN,120,rpc_msgpack,2.003785374981817,0.0036153773670792072
4,ADHD_SIN,120,rpc_msgpack,2.0062761249719188,0.0038541867043804575
5,ADHD_SIN,120,rpc_msgpack,2.008204833022319,0.0036110473028756604
6,ADHD_SIN,120,rpc_msgpack,2.0047232499928214,0.0041041244829658615
7,ADHD_SIN,120,rpc_msgpack,2.0045579170109704,0.003643740010172359
8,ADHD_SIN,120,rpc_msgpack,2.0042460419936106,0.004151791032380125
9,ADHD_SIN,120,rpc_msgpack,2.006806791992858,0.0045530907443939355
0,ADHD_SIN,240,rpc_msgpack,3.771546749980189,0.0040814896532016965
1,ADHD_SIN,240,rpc_msgpack,3.772314124973491,0.003713469142312143
2,ADHD_SIN,240,rpc_msgpack,3.77476562501397,0.0035943119629186057
3,ADHD_SIN,240,rpc_msgpack,3.7731431249994785,0.004167893260537441
4,ADHD_SIN,240,rpc_msgpack,3.773474042012822,0.0032383123961594205
5,ADHD_SIN,240,rpc_msgpack,3.772596540977247,0.00327476754754063
6,ADHD_SIN,240,rpc_msgpack,3.76997541700257,0.004063560684067627
7,ADHD_SIN,240,rpc_msgpack,3.7726854999782518,0.0035757319280969465
8,ADHD_SIN,240,rpc_msgpack,3.7728085829876363,0.003298791815349596
9,ADHD_SIN,240,rpc_msgpack,3.769669333996717,0.004126994419728868
0,ADHD_SIN,480,rpc_msgpack,3.7742872089729644,0.004498736390465523
1,ADHD_SIN,480,rpc_msgpack,3.771714791015256,0.004909423685088105
2,ADHD_SIN,480,rpc_msgpack,3.7688880839850754,0.0038221713404458127
3,ADHD_SIN,480,rpc_msgpack,3.774249290989246,0.0039230517527892046
4,ADHD_SIN,480,rpc_msgpack,3.773124250001274,0.003386243313870689
5,ADHD_SIN,480,rpc_msgpack,3.772220125014428,0.003074809758849605
6,ADHD_SIN,480,rpc_msgpack,3.772045874968171,0.0037319824057377954
7,ADHD_SIN,480,rpc_msgpack,3.771186124999076,0.004130495970929363
8,ADHD_SIN,480,rpc_msgpack,3.76818400004413,0.00356295127938251
9,ADHD_SIN,480,rpc_msgpack,3.77010354102822,0.0035224895945307425
0,adhd_sin_h5,60,rpc_msgpack,1.0052625829703175,0.00318747303527769
1,adhd_sin_h5,60,rpc_msgpack,1.0037394170067273,0.0029450430989573554
2,adhd_sin_h5,60,rpc_msgpack,1.005281208024826,0.0032882740054892765
3,adhd_sin_h5,60,rpc_msgpack,1.0031533330329694,0.00425216384794657
4,adhd_sin_h5,60,rpc_msgpack,1.0014698749873787,0.003977325228266908
5,adhd_sin_h5,60,rpc_msgpack,1.0062226669979282,0.0034818806327553634
6,adhd_sin_h5,60,rpc_msgpack,1.0060258340090513,0.0040607840729679975
7,adhd_sin_h5,60,rpc_msgpack,1.010356541024521,0.0032502279939455848
8,adhd_sin_h5,60,rpc_msgpack,1.0019504589727148,0.002879341383842564
9,adhd_sin_h5,60,rpc_msgpack,1.0070957079879008,0.0035179177114452198
0,adhd_sin_h5,120,rpc_msgpack,2.0023600409622304,0.0032880947025772274
1,adhd_sin_h5,120,rpc_msgpack,2.006246542034205,0.0035451567511285377
2,adhd_sin_h5,120,rpc_msgpack,2.005336875037756,0.003012344557787442
3,adhd_sin_h5,120,rpc_msgpack,2.005416750034783,0.002820192803705028
4,adhd_sin_h5,120,rpc_msgpack,2.0077798339771107,0.0035746345601812314
5,adhd_sin_h5,120,rpc_msgpack,2.00441958301235,0.00438961351381403
6,adhd_sin_h5,120,rpc_msgpack,2.0025188340223394,0.0037265523590346325
7,adhd_sin_h5,120,rpc_msgpack,2.008066999958828,0.004204489540110943
8,adhd_sin_h5,120,rpc_msgpack,2.0053520840010606,0.004163144543409096
9,adhd_sin_h5,120,rpc_msgpack,2.0100457089720294,0.0038376552968685416
0,adhd_sin_h5,240,rpc_msgpack,3.7662397919921204,0.004319493388587134
1,adhd_sin_h5,240,rpc_msgpack,3.7735639170277864,0.0038225938143547794
